Time,Heat,DrySoil,DryAir,Wind,RainRelief,InstantRisk,DrynessInput,CarryoverRisk,FinalRisk,FinalRiskScore,FinalRiskBand
2026-02-06 15:00:00,0.13666666666666666,0.6988333333333334,0.07999999999999996,0.2475,0.01,0.27066666666666667,0.32370000000000004,0.3214374038534964,0.01979304387128546,2.6390725161713946,Extreme
2026-02-06 16:00:00,0.15,0.6995,0.06999999999999995,0.21549999999999997,0.01,0.2692,0.3258,0.32296431250477264,0.019779303390729787,2.6372404520973047,Extreme
2026-02-06 17:00:00,0.16333333333333336,0.7010000000000001,0.06000000000000005,0.22400000000000003,0.0,0.2750166666666667,0.3302333333333334,0.3255084697947689,0.020365857861149868,2.7154477148199825,Extreme
2026-02-06 18:00:00,0.18333333333333332,0.6985000000000001,0.040000000000000036,0.2045,0.01,0.2744666666666667,0.3292333333333334,0.32681217203326646,0.02040653330262453,2.720871107016604,Extreme
2026-02-06 19:00:00,0.2033333333333334,0.6996666666666667,0.030000000000000027,0.2085,0.05,0.2768583333333334,0.3252,0.3262479118216232,0.020548813084894393,2.7398417446525856,Extreme
2026-02-06 20:00:00,0.22666666666666668,0.6995,0.020000000000000018,0.205,0.06,0.28195833333333337,0.3274666666666667,0.3266744760173884,0.02095470440709164,2.7939605876122187,Extreme
2026-02-06 21:00:00,0.24333333333333335,0.6981666666666666,0.020000000000000018,0.195,0.04,0.2879583333333333,0.3351,0.32962340941130247,0.02159380122939349,2.879173497252465,Extreme
2026-02-06 22:00:00,0.2633333333333333,0.6993333333333334,0.020000000000000018,0.1925,0.04,0.294875,0.3405666666666667,0.33345354945067995,0.022369418752196252,2.9825891669595,Extreme
2026-02-06 23:00:00,0.27999999999999997,0.7001666666666667,0.020000000000000018,0.1955,0.03,0.3023666666666667,0.3470666666666667,0.3382181404762753,0.02326549037130722,3.102065382840963,Extreme
2026-02-07 00:00:00,0.29333333333333333,0.7018333333333333,0.020000000000000018,0.1915,0.03,0.30684999999999996,0.35106666666666664,0.34271512464291226,0.023924385939244158,3.189918125232554,Extreme
2026-02-07 01:00:00,0.29666666666666663,0.7008333333333333,0.020000000000000018,0.081,0.01,0.29319166666666663,0.3555,0.34718983101789297,0.023157945084331874,3.08772601124425,Extreme
2026-02-07 02:00:00,0.3,0.7006666666666665,0.0,0.075,0.0,0.2914166666666666,0.3552666666666666,0.3500167234949637,0.02320516080575662,3.0940214407675493,Extreme
2026-02-07 03:00:00,0.29333333333333333,0.7005,0.0,0.096,0.0,0.2921916666666667,0.35353333333333337,0.3512475369383931,0.02334868973495937,3.113158631327916,Extreme
2026-02-07 04:00:00,0.2833333333333333,0.7030000000000001,0.010000000000000009,0.1135,0.0,0.2934416666666667,0.3535333333333334,0.3520475656766222,0.023501984055115662,3.133597874015422,Extreme
2026-02-07 05:00:00,0.26666666666666666,0.7001666666666667,0.010000000000000009,0.1365,0.0,0.29035000000000005,0.34823333333333334,0.3507125843564711,0.023166188242447573,3.0888250989930097,Extreme
2026-02-07 06:00:00,0.25,0.6978333333333333,0.010000000000000009,0.091,0.0,0.2771083333333333,0.34313333333333335,0.3480598464983729,0.021942439601678035,2.9256586135570712,Extreme
2026-02-07 07:00:00,0.22666666666666668,0.7013333333333334,0.0,0.097,0.0,0.2692166666666667,0.33720000000000006,0.3442589002239424,0.02108475314141159,2.8113004188548785,Extreme
2026-02-07 08:00:00,0.20666666666666664,0.6975,0.0,0.0975,0.0,0.2613333333333333,0.33066666666666666,0.33950161847889593,0.020184502890631957,2.6912670520842608,Extreme
2026-02-07 09:00:00,0.18666666666666665,0.7010000000000001,0.010000000000000009,0.098,0.0,0.25678333333333336,0.32856666666666673,0.3356743853446157,0.019609496175225376,2.6145994900300504,Extreme
2026-02-07 10:00:00,0.16666666666666666,0.7003333333333333,0.06000000000000005,0.16299999999999998,0.0,0.26686666666666664,0.3308,0.3339683504740002,0.020275942155369243,2.7034589540492324,Extreme
2026-02-07 11:00:00,0.15,0.6991666666666667,0.09999999999999998,0.173,0.0,0.26824166666666666,0.33216666666666667,0.33333776114143343,0.020341929929119283,2.712257323882571,Extreme
2026-02-07 12:00:00,0.13999999999999999,0.7003333333333333,0.10999999999999999,0.14650000000000002,0.0,0.2625583333333333,0.3316333333333333,0.33274121140859836,0.01987530497196696,2.650040662928928,Extreme
2026-02-07 13:00:00,0.13333333333333333,0.7001666666666667,0.16000000000000003,0.17250000000000001,0.08,0.26358333333333334,0.3214,0.32877178741558893,0.019714868726498167,2.628649163533089,Extreme
2026-02-07 14:00:00,0.13333333333333333,0.7001666666666667,0.18000000000000005,0.1625,0.06,0.26708333333333334,0.3284,0.3286416618201328,0.019968746641281426,2.6624995521708565,Extreme
2026-02-07 15:00:00,0.13999999999999999,0.7010000000000001,0.18000000000000005,0.182,0.01,0.27755,0.34040000000000004,0.33275708018308636,0.021011155530095554,2.801487404012741,Extreme
2026-02-07 16:00:00,0.15,0.6985000000000001,0.10999999999999999,0.159,0.0,0.267475,0.33340000000000003,0.33298210211900614,0.020262148216373965,2.701619762183195,Extreme
2026-02-07 17:00:00,0.16666666666666666,0.7030000000000001,0.050000000000000044,0.08299999999999999,0.0,0.25403333333333333,0.33036666666666675,0.33206669971068736,0.019190992415254876,2.55879898870065,Extreme
2026-02-07 18:00:00,0.18333333333333332,0.7015,0.020000000000000018,0.08199999999999999,0.0,0.25484166666666663,0.32943333333333336,0.33114502147861347,0.019198622438900213,2.559816325186695,Extreme
2026-02-07 19:00:00,0.20666666666666664,0.6998333333333333,0.020000000000000018,0.08299999999999999,0.0,0.26274166666666665,0.33459999999999995,0.33235426396109874,0.019866053761397558,2.648807168186341,Extreme
2026-02-07 20:00:00,0.22666666666666668,0.6996666666666667,0.030000000000000027,0.10700000000000001,0.01,0.2738,0.33903333333333335,0.3346919382413809,0.020847793487086493,2.779705798278199,Extreme
2026-02-07 21:00:00,0.25,0.7006666666666665,0.040000000000000036,0.131,0.01,0.2873166666666666,0.3467666666666666,0.3389180931902309,0.02215322582392006,2.953763443189341,Extreme
2026-02-07 22:00:00,0.26666666666666666,0.7,0.040000000000000036,0.14350000000000002,0.01,0.29485833333333333,0.3506666666666666,0.3430300939069834,0.023010551603264214,3.068073547101895,Extreme
2026-02-07 23:00:00,0.2833333333333333,0.6991666666666667,0.020000000000000018,0.088,0.0,0.2901583333333333,0.35350000000000004,0.3466945610395392,0.022885661891584374,3.0514215855445834,Extreme
2026-02-08 00:00:00,0.29666666666666663,0.7006666666666665,0.030000000000000027,0.073,0.0,0.29445,0.35893333333333327,0.3509781313423671,0.023511103701030395,3.1348138268040526,Extreme
2026-02-08 01:00:00,0.3,0.6986666666666667,0.020000000000000018,0.137,0.03,0.3002166666666667,0.3514666666666667,0.35114911870587195,0.023983236076985305,3.1977648102647076,Extreme
2026-02-08 02:00:00,0.3033333333333334,0.7005,0.020000000000000018,0.10600000000000001,0.0,0.30019166666666675,0.35903333333333337,0.35390859382548345,0.024169693417899183,3.222625789053225,Extreme
2026-02-08 03:00:00,0.29666666666666663,0.7013333333333334,0.010000000000000009,0.1135,0.0,0.2976916666666667,0.3562,0.35471058598656424,0.02402272270731294,3.2030296943083925,Extreme
2026-02-08 04:00:00,0.28666666666666674,0.6996666666666667,0.0,0.1395,0.0,0.296175,0.35153333333333336,0.3535985475579334,0.023825403834725884,3.1767205112967845,Extreme
2026-02-08 05:00:00,0.2700000000000001,0.7001666666666667,0.0,0.14650000000000002,0.0,0.2915166666666667,0.3475666666666667,0.35148738924599005,0.023310658300101945,3.108087773346926,Extreme
2026-02-08 06:00:00,0.25333333333333335,0.6993333333333334,0.0,0.121,0.0,0.28165,0.3430666666666667,0.3485401363432269,0.022332839938743392,2.9777119918324524,Extreme
2026-02-08 07:00:00,0.22999999999999995,0.699,0.0,0.124,0.0,0.27385,0.3371,0.3445360886230975,0.02146489979029652,2.8619866387062025,Extreme
2026-02-08 08:00:00,0.21000000000000002,0.699,0.0,0.1285,0.0,0.26752499999999996,0.3321,0.34018345760501334,0.020704224335290216,2.760563244705362,Extreme
2026-02-08 09:00:00,0.18999999999999997,0.5481666666666667,0.0,0.13899999999999998,0.0,0.22439166666666668,0.2667666666666667,0.314487580776592,0.016054309270187243,2.140574569358299,Extreme
2026-02-08 10:00:00,0.16999999999999998,0.0,0.050000000000000044,0.0945,0.0,0.081175,0.05,0.22191692750478478,0.004098209249270706,0.5464278999027607,High
2026-02-08 11:00:00,0.15333333333333332,0.0,0.08999999999999997,0.056499999999999995,0.0,0.07564166666666665,0.05183333333333333,0.1623876695447768,0.002794444828284842,0.37259264377131224,Moderate
