YEAR,MO,DY,T2M,ALLSKY_SFC_SW_DWN
2025,2,15,8.94,2.3801
2025,2,16,10.49,2.4518
2025,2,17,9.33,3.0994
2025,2,18,10.54,2.0441
2025,2,19,12.3,2.1254
2025,2,20,12.25,3.3629
2025,2,21,10.63,1.2643
2025,2,22,9.63,3.2837
2025,2,23,9.89,4.495
2025,2,24,10.19,4.2533
2025,2,25,11.08,3.3866
2025,2,26,8.58,4.4894
2025,2,27,9.1,2.7838
2025,2,28,9.75,2.8572
2025,3,1,8.79,1.6301
2025,3,2,6.33,1.217
2025,3,3,8.99,1.9589
2025,3,4,11.36,2.5848
2025,3,5,11.16,2.5013
2025,3,6,12.52,2.3314
2025,3,7,10.86,1.7237
2025,3,8,9.17,2.874
2025,3,9,8.55,2.9748
2025,3,10,9.98,1.6502
2025,3,11,11.68,3.5261
2025,3,12,9.41,2.3381
2025,3,13,10.01,3.0362
2025,3,14,7.62,5.1247
2025,3,15,7.73,4.4498
2025,3,16,9.87,3.8167
2025,3,17,11.53,2.1418
2025,3,18,11.38,3.408
2025,3,19,12.44,2.899
2025,3,20,12.3,4.1616
2025,3,21,10.47,1.9922
2025,3,22,8.99,2.9306
2025,3,23,8.26,4.9308
2025,3,24,9.5,5.7545
2025,3,25,11.94,5.6345
2025,3,26,11.68,5.6986
2025,3,27,11.95,5.7857
2025,3,28,12.55,6.3223
2025,3,29,12.37,6.5527
2025,3,30,12.17,6.5962
2025,3,31,13.7,5.6501
2025,4,1,13.93,4.3301
2025,4,2,11.89,2.5572
2025,4,3,11.37,3.7301
2025,4,4,12.5,3.0005
2025,4,5,11.87,4.1208
2025,4,6,11.67,3.3012
2025,4,7,15.0,5.5807
2025,4,8,16.07,5.8927
2025,4,9,16.94,5.7653
2025,4,10,18.32,4.8914
2025,4,11,15.6,2.5454
2025,4,12,14.87,3.0074
2025,4,13,14.32,5.2582
2025,4,14,11.27,2.983
2025,4,15,9.09,4.8511
2025,4,16,9.45,4.093
2025,4,17,12.24,4.1405
2025,4,18,13.6,3.024
2025,4,19,10.35,5.8934
2025,4,20,11.75,4.6853
2025,4,21,10.85,2.5927
2025,4,22,13.35,6.8959
2025,4,23,15.76,7.5667
2025,4,24,17.97,7.4928
2025,4,25,16.8,6.9271
2025,4,26,14.47,7.8329
2025,4,27,15.51,7.6322
2025,4,28,16.52,7.505
2025,4,29,16.39,5.3206
2025,4,30,13.21,1.7515
2025,5,1,13.66,6.1601
2025,5,2,14.83,3.6487
2025,5,3,14.35,3.9228
2025,5,4,13.8,4.3615
2025,5,5,14.73,5.8836
2025,5,6,15.27,6.6422
2025,5,7,15.02,6.3955
2025,5,8,14.5,4.8626
2025,5,9,14.18,4.6488
2025,5,10,13.27,5.7317
2025,5,11,12.64,6.6494
2025,5,12,13.01,6.5153
2025,5,13,13.9,5.411
2025,5,14,13.22,7.6913
2025,5,15,14.97,7.6745
2025,5,16,18.07,7.5751
2025,5,17,19.89,7.0224
2025,5,18,16.81,6.4032
2025,5,19,15.3,6.2285
2025,5,20,17.58,8.0962
2025,5,21,19.57,7.9704
2025,5,22,19.03,7.7062
2025,5,23,17.73,8.4101
2025,5,24,19.18,8.3765
2025,5,25,20.48,8.3568
2025,5,26,20.26,8.3239
2025,5,27,22.01,8.4322
2025,5,28,23.77,8.2402
2025,5,29,23.73,7.8636
2025,5,30,24.59,7.9277
2025,5,31,25.29,7.7122
2025,6,1,23.45,6.3482
2025,6,2,20.59,7.6963
2025,6,3,17.65,5.4396
2025,6,4,17.89,7.1645
2025,6,5,19.28,8.3342
2025,6,6,20.23,8.4826
2025,6,7,20.7,8.5582
2025,6,8,23.94,8.2421
2025,6,9,25.7,5.2858
2025,6,10,24.08,5.9083
2025,6,11,20.46,6.4418
2025,6,12,20.69,6.3662
2025,6,13,21.28,7.2173
2025,6,14,21.13,7.7784
2025,6,15,23.52,8.6352
2025,6,16,27.52,8.1821
2025,6,17,29.23,8.0249
2025,6,18,27.85,7.0392
2025,6,19,29.22,5.2022
2025,6,20,27.62,8.1708
2025,6,21,24.25,7.7479
2025,6,22,25.3,7.4573
2025,6,23,23.45,4.3714
2025,6,24,22.61,4.2062
2025,6,25,21.98,6.4639
2025,6,26,24.46,8.6304
2025,6,27,28.14,8.5891
2025,6,28,29.43,7.4712
2025,6,29,31.16,6.5765
2025,6,30,31.2,7.8698
2025,7,1,30.33,7.9675
2025,7,2,28.79,8.1247
2025,7,3,29.99,8.2097
2025,7,4,29.42,8.2956
2025,7,5,29.76,8.1605
2025,7,6,29.57,7.9644
2025,7,7,30.28,8.3074
2025,7,8,31.3,8.2308
2025,7,9,27.74,8.4456
2025,7,10,24.7,8.1002
2025,7,11,22.69,3.5407
2025,7,12,23.27,6.9794
2025,7,13,23.88,7.98
2025,7,14,26.55,8.3417
2025,7,15,29.31,8.5558
2025,7,16,30.63,8.449
2025,7,17,25.69,8.1144
2025,7,18,22.24,8.3136
2025,7,19,22.68,7.9824
2025,7,20,22.11,6.5911
2025,7,21,22.6,8.453
2025,7,22,25.43,8.1487
2025,7,23,24.47,6.2282
2025,7,24,26.71,7.9217
2025,7,25,27.25,8.2128
2025,7,26,29.05,8.1958
2025,7,27,30.61,8.1758
2025,7,28,30.67,7.956
2025,7,29,29.36,7.8636
2025,7,30,30.39,7.5967
2025,7,31,31.3,7.1462
2025,8,1,30.96,7.386
2025,8,2,30.65,7.649
2025,8,3,33.27,7.5802
2025,8,4,31.77,7.4105
